,row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,poverty_rate,prediction_label
25,45,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.332,0.088,0.196,0.043,0.527,0.219,0.213,0.014,0.433,0.564,0.005,0.002,0.23861386,0.36435643,0.27821782,0.11881188,11,13,0.407,0.193,0.171,0.113,,0.341,13,,45.99,2230,2719,a,22.9,22.89999962
26,46,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.472,0.05,0.319,0.152,0.488,0.273,0.136,0.18,0.015,0.766,0.005,0.009,0.1774676,0.3090728,0.34097707,0.17248255,13,8,0.324,0.203,0.129,0.079,0.188,0.289,10,2.95,21.13,3120,2209,b,13,13.52599996
27,47,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.617,0.033,0.121,0.041,0.509,0.219,0.207,0.022,0,0.955,0.007,0.01,0.085427135,0.35376886,0.37286434,0.1879397,12,12,0.3,0.232,0.094,0.095,,0.28,11,,21.84,3040,1520,a,12,12
28,49,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.443,0.057,0.146,0.055,0.465,0.19,0.197,0.034,0.025,0.914,0.002,0,0.10552764,0.43618092,0.2603015,0.19798996,8,11,0.325,0.187,0.123,0.067,0.183,0.237,12,3.3,16.19,1979,2160,a,14.2,14.19999981
29,51,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.555,0.028,0.176,0.072,0.507,0.224,0.138,0.046,0,0.928,0,0.011,0.06712735,0.28627837,0.36130306,0.28529122,17,10,0.297,0.16,0.083,0.062,,0.233,13,,26.56,2069,1590,b,10.7,11.65899996
30,52,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.531,0.044,0.114,0.061,0.521,0.292,0.089,0.05,0.038,0.865,0.008,0.053,0.047808766,0.15537849,0.23904383,0.55776894,13,5,0.212,0.122,0.075,0.07,0.188,0.195,13,0.08,5.01,1360,720,b,4.7,4.699999809
31,55,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.526,0.043,0.153,0.081,0.508,0.24,0.142,0.078,0.086,0.82,0.005,0.007,0.08459215,0.28499496,0.29707956,0.33333334,12,8,0.281,0.167,0.11,0.059,0.158,0.207,13,3.58,14.68,1910,2059,b,6.9,8.846999946
32,56,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.432,0.054,0.265,0.076,0.501,0.248,0.126,0.049,0.234,0.659,0.004,0.03,0.1444333,0.29287863,0.3550652,0.20762287,14,9,0.327,0.264,0.127,0.101,0.16,0.289,12,9.4,19.64,1410,1899,a,22.3,22.29999924
33,58,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.513,0.086,0.164,0.03,0.494,0.232,0.172,0.09,0.018,0.886,0,0.013,0.11710794,0.37983707,0.34521386,0.15784115,11,11,0.292,0.22,0.1,0.079,0.242,0.28,13,0.26,17.26,2310,2219,b,13.5,13.23000001
34,61,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.341,0.073,0.316,0.128,0.491,0.3,0.134,0.046,0.408,0.481,0.071,0.004,0.25176233,0.35347432,0.27895266,0.11581068,13,11,0.36,0.269,0.154,0.131,0.119,0.396,13,11.26,30.87,6259,7849,b,26.8,26.61399994
35,64,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.441,0.059,0.283,0.114,0.454,0.217,0.13,0.141,0.357,0.471,0.029,0.009,0.2560241,0.31325302,0.3253012,0.105421685,10,10,0.323,,0.12,0.119,,0.272,12,5.85,22.28,2969,10770,b,28.5,28.5
36,66,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.414,0.067,0.337,0.099,0.496,0.275,0.139,0.533,0.014,0.437,0.019,0.009,0.21421319,0.2741117,0.32994923,0.18172589,14,10,0.306,0.219,0.108,0.091,0.149,0.268,9,12.94,21.25,3209,1339,b,23.6,23.60000038
37,68,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.505,0.076,0.139,0.046,0.519,0.239,0.137,0.048,0.087,0.8,0,0.025,0.08682927,0.34439024,0.28390244,0.28487805,10,9,0.283,0.189,0.092,0.084,0.181,0.251,11,1.53,9.8,2510,1740,b,8.3,10.18799992
38,69,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.37,0.079,0.268,0.116,0.489,0.206,0.227,0.147,0.011,0.775,0.046,0.02,0.12714429,0.25428858,0.43794146,0.18062563,6,11,0.246,,0.093,0.069,,0.215,10,,24.42,1299,3099,a,20.8,20.79999924
39,71,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.448,0.084,0.221,0.095,0.501,0.219,0.161,0.002,0.004,0.974,0.004,0.001,0.1641791,0.43781096,0.29054725,0.10746269,11,11,0.36,0.32,0.103,0.059,0.229,0.31,14,,23.21,7189,5370,b,15.9,15.89999962
40,72,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.572,0.032,0.162,0.052,0.499,0.239,0.169,0.024,0.007,0.941,0.022,0.003,0.08879919,0.27447024,0.36730576,0.26942483,14,10,0.324,0.138,0.081,0.07,0.139,0.253,12,,12.58,1710,1089,b,13.4,13.39999962
41,73,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.404,0.061,0.247,0.055,0.511,0.212,0.19,0.034,0.087,0.847,0.01,0.01,0.19960669,0.37758112,0.29695183,0.12586038,12,13,0.351,0.325,0.124,0.09,0.121,0.315,13,7.1,26.82,13359,4480,a,22.7,21.05200007
42,74,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.441,0.079,0.244,0.11,0.519,0.17,0.223,0.08,0,0.847,0.039,0.011,0.105788425,0.28443113,0.37425148,0.23552895,10,12,0.278,0.238,0.122,0.051,0.191,0.181,9,,12.83,1869,1639,b,18,18
43,76,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.483,0.099,0.262,0.099,0.512,0.216,0.187,0.047,0.018,0.908,0.002,0.014,0.13916501,0.35089463,0.32405567,0.1858847,12,10,0.31,0.318,0.114,0.084,0.106,0.295,11,3.89,22.32,3209,1249,b,18.4,18.39999962
44,78,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.432,0.065,0.216,0.058,0.517,0.219,0.171,0.032,0.037,0.9,0.002,0.001,0.16616315,0.42497483,0.25276938,0.15609264,11,12,0.337,0.228,0.127,0.082,0.058,0.361,13,3,20.9,2610,2090,a,21.6,21.60000038
45,79,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.463,0.056,0.195,0.077,0.512,0.214,0.186,0.039,0.13,0.808,0,0.003,0.12401575,0.34251967,0.27952754,0.253937,11,11,0.327,0.197,0.122,0.071,0.174,0.269,13,4.5,22.5,4979,1539,b,10.2,10.19999981
46,82,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.422,0.049,0.176,0.111,0.443,0.235,0.202,0.028,0.006,0.922,0.024,0,0.06659939,0.3481332,0.42885974,0.15640767,10,6,0.258,,0.102,,,0.182,12,,,,,a,8,8
47,86,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.771,0.03,0.236,0.136,0.51,0.214,0.263,0.007,0,0.998,0.004,0,0.08232932,0.4186747,0.3433735,0.1556225,5,9,0.268,0.139,0.105,,0.165,0.389,12,,,,,b,20.5,20.5
48,87,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.481,0.033,0.263,0.097,0.501,0.251,0.15,0.105,0.032,0.767,0.031,0.02,0.13452028,0.34619188,0.29772502,0.2215628,15,10,0.351,0.233,0.114,0.077,0.146,0.287,10,2.9,18.66,1880,1740,a,13.9,13.89999962
49,89,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.475,0.045,0.203,0.067,0.529,0.254,0.129,0.022,0.182,0.77,0.004,0.011,0.09726444,0.2674772,0.34650457,0.2887538,13,7,0.344,0.203,0.117,0.106,0.134,0.3,12,3.11,21.16,1849,1429,b,10.9,10.89999962
50,90,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.545,0.02,0.191,0.05,0.509,0.175,0.173,0.013,0.004,0.919,0.004,0.023,0.077077076,0.2852853,0.24924925,0.3883884,8,9,0.266,0.165,0.091,0.061,0.183,0.177,11,1.9,10.81,1310,529,a,11.6,11.60000038
51,91,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.576,0.029,0.131,0.08,0.505,0.207,0.231,0.047,0.007,0.941,0.013,0.006,0.07070707,0.389899,0.34747475,0.1919192,11,15,0.282,0.143,0.081,0.073,0.238,0.292,10,,,1889,1150,a,10.2,10.19999981
52,92,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.387,0.126,0.196,0.076,0.482,0.133,0.292,0.002,0.009,0.965,0.024,0,0.08917835,0.40480962,0.35571143,0.1503006,5,16,0.345,,0.146,,,0.233,10,,24.11,2159,2190,b,17,17
53,93,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.502,0.058,0.156,0.07,0.506,0.256,0.142,0.026,0.009,0.942,0.001,0.005,0.06163022,0.33101392,0.32405567,0.2833002,11,8,0.285,0.202,0.096,0.078,0.168,0.251,13,,12.51,2649,1410,b,6.6,6.599999905
54,97,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.393,0.067,0.324,0.126,0.501,0.195,0.231,0.095,0.014,0.872,0.001,0.017,0.2017982,0.33166832,0.28771228,0.17882118,9,10,0.245,0.273,0.114,0.088,0.161,0.312,13,,19.48,5510,919,b,19.7,19.70000076
55,99,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.44,0.061,0.213,0.091,0.464,0.224,0.151,0.027,0.039,0.898,0.009,0,0.15338042,0.4248234,0.30070636,0.12108981,11,9,0.336,0.307,0.115,0.072,0.189,0.292,13,,25.42,5700,6100,b,18,18
56,100,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.354,0.072,0.217,0.055,0.499,0.204,0.185,0.004,0.242,0.726,0.007,0.018,0.25301206,0.3433735,0.2740964,0.12951808,13,15,0.353,0.302,0.125,0.105,,0.351,14,,30.83,6970,1350,b,30.1,30.10000038
57,101,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.46,0.059,0.242,0.068,0.494,0.205,0.199,0.011,0.006,0.979,0.008,0.01,0.18529709,0.4833837,0.2286002,0.10271903,9,11,0.328,0.303,0.135,0.082,,0.348,13,,24.49,10340,3430,b,17.4,17.39999962
58,105,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.478,0.049,0.254,0.103,0.495,0.222,0.21,0.02,0.005,0.946,0.014,0.008,0.13545817,0.4193227,0.29282868,0.15239044,9,14,0.367,,0.136,0.057,,0.311,9,,38.16,7569,1889,a,17.5,17.5
59,106,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.708,0.008,0.171,0.104,0.507,0.223,0.207,0.156,0.003,0.837,0.007,0.004,0.114107884,0.29771784,0.32676348,0.2614108,14,9,0.314,,0.113,,,0.293,13,,,,1289,a,12.3,10.77499994
60,107,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.398,0.082,0.264,0.08,0.493,0.248,0.147,0.028,0.318,0.637,0.003,0.01,0.23316583,0.41005024,0.21306533,0.1437186,13,7,0.342,0.221,0.117,0.106,,0.309,13,,30.4,6710,,a,29,29
61,111,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.465,0.069,0.257,0.044,0.512,0.203,0.115,0.054,0.597,0.306,0.006,0.034,0.14781746,0.23511904,0.26488096,0.35218254,13,9,0.303,0.197,0.116,0.122,0.199,0.279,12,47,13.89,1590,1140,a,24.3,24.29999924
62,112,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.498,0.052,0.243,0.096,0.521,0.18,0.232,0.088,0.106,0.76,0,0.035,0.102385685,0.29224652,0.31312126,0.29224652,9,13,0.24,0.195,0.113,0.082,0.173,0.197,11,4.8,12.99,1579,1150,a,13.9,12.84499993
63,114,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.486,0.046,0.22,0.085,0.51,0.253,0.119,0.062,0.178,0.715,0,0.015,0.118,0.313,0.291,0.278,12,7,0.272,0.161,0.102,0.067,0.159,0.261,13,3.7,10.37,2830,2210,a,11.2,11.08100001
64,115,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.519,0.038,0.217,0.093,0.509,0.236,0.223,0.057,0.015,0.918,0.013,0,0.11256281,0.3678392,0.32361808,0.1959799,15,14,0.292,0.232,0.108,0.063,0.115,0.36,10,,48.3,1510,1990,b,12.6,13.10000004
65,117,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.443,0.064,0.174,0.049,0.475,0.218,0.158,0.023,0.052,0.928,0,0.007,0.17431192,0.40672782,0.2895005,0.12945974,11,9,0.373,0.182,0.109,0.084,,0.249,13,,15.86,3149,5499,a,18.9,18.89999962
66,118,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.385,0.1,0.201,0.054,0.493,0.205,0.211,0.019,0.006,0.95,0.012,0.009,0.15392561,0.40392563,0.33677685,0.1053719,10,12,0.286,0.257,0.126,0.086,0.146,0.285,12,,19.52,3890,2380,b,25,25
67,121,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.397,0.072,0.235,0.049,0.509,0.199,0.185,0.002,0.004,0.956,0,0,0.16403162,0.48122528,0.19169961,0.16304348,11,11,0.34,0.208,0.124,0.085,,0.317,13,,19.56,2740,1739,a,17.5,19.18600012
68,124,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.523,0.042,0.268,0.124,0.499,0.267,0.164,0.352,0.025,0.606,0.02,0.005,0.19534414,0.3228745,0.32692307,0.1548583,16,9,0.287,0.148,0.08,0.068,0.156,0.205,14,,16.84,1569,2189,a,12.6,12.60000038
